,month,year,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
1648,11,2017,175,5698,1,1,0.0,4,92.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,82980.0,7.165,55462.0,5.446666667
1649,1,2015,82,1659,2,4,0.0,3,119.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15013.0,7.195,72435.2,8.26
1650,7,2019,224,8819,0,2,0.0,3,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445734.5,7.317142857,763307.5446,7.872142857
1651,12,2013,889,42896,0,2,1.0,3,131.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,724525.8571,8.12,2093666.667,7.862166667
1652,12,2013,740,39811,0,2,1.0,3,131.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,724525.8571,8.12,2093666.667,7.862166667
1653,9,2013,159,2758,0,0,0.0,4,123.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,361034.3333,6.473333333,1008109.29,7.496825397
1654,4,2015,372,5097,2,3,0.0,1,97.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167500.0,8.3625,288941.8016220561,5.461852312476617
1655,1,2016,350,6707,2,6,1.0,1,104.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,183500.0,8.72,288941.8016220561,5.461852312476617
1656,1,2017,334,4442,2,3,1.0,1,96.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,288941.8016220561,5.461852312476617
1657,4,2014,301,3278,2,0,1.0,1,95.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183500.0,8.72,288941.8016220561,5.461852312476617
1658,4,2013,328,5977,2,0,1.0,1,111.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,225768.32117104737,5.498639112275811,288941.8016220561,5.461852312476617
1659,2,2014,560,37426,0,4,1.0,3,121.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1835129.25,7.945,923348.8214,7.674916667
1660,4,2015,551,45137,0,0,0.0,4,110.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,225768.32117104737,5.498639112275811,2743576.746,8.180539683
1661,2,2013,300,13432,2,2,1.0,2,128.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8942.0,5.482857143,705294.6667,6.423238095
1662,5,2015,145,1865,1,6,1.0,4,137.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,158026.0,7.48,571851.3016,7.281388889
1663,10,2018,1351,60687,0,2,1.0,3,121.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2857500.0,6.954,1811049.027,7.260982143
1664,6,2014,300,11183,2,0,0.0,3,114.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,240000.0,8.17,120643.0,7.905
1665,11,2013,415,19471,0,5,0.0,4,115.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,275000.0,7.84,2068278.81,7.543333333
1666,11,2017,480,9981,0,0,0.0,2,114.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,2168258.929,8.269375
1667,3,2015,536,24669,1,4,1.0,3,120.0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,652661.75,7.63,430128.25,8.026875
1668,5,2018,874,47320,0,0,1.0,2,108.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,891225.8,7.212,1753464.065,7.723428571
1669,6,2014,43,2095,1,5,1.0,1,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106000.0,8.67,217087.3889,8.102222222
1670,6,2019,381,8329,1,2,0.0,1,113.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,1776713.333,8.67
1671,9,2013,33,919,0,1,0.0,2,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,952875.5,6.275,523752.4,8.792
1672,4,2014,533,10520,1,7,1.0,1,92.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,274800.4667,7.398928571,780436.92,8.028
1673,7,2014,186,1162,2,1,0.0,1,91.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23333.33333,6.4,288941.8016220561,5.461852312476617
1674,3,2019,182,3395,2,2,0.0,2,104.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,82390.57143,8.25,12499.91667,7.1
1675,6,2017,139,2638,1,2,1.0,3,99.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,148666.6667,8.28,546374.5,8.566666667
1676,8,2017,1102,118544,0,2,1.0,3,109.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3325204.571,8.112857143,2675126.233,7.613166667
1677,9,2018,66,1834,2,2,0.0,3,110.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,170000.0,8.19,438015.6429,8.3125
1678,3,2014,192,1123,2,3,0.0,1,90.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28500.0,8.425,10640.83333,6.205
1679,10,2014,53,2099,1,3,0.0,3,98.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30500.0,8.0025,14531.5,6.969583333
