,name,r_avg,a_avg
408, 카미키 류노스케,8.426666666666666,1444000.0
409, 사이토 소우마,NULL,NULL
410, 김유림,NULL,NULL
411, 임성철,NULL,NULL
412, 오연서,7.623333333333332,379006.3333333333
413, 바이바이허,8.64,2600.0
414, 정가람,7.995000000000001,1065500.0
415, 이원근,7.327142857142857,426555.71428571426
416, 이하늬,8.395000000000001,3896666.6666666665
417, 로드리고 산토로,7.451666666666667,289752.2
418, 로즈마리 드윗,7.52,1880500.0
419, 히라 미키지로,7.83,21000.0
420, 손선영,8.21,6060000.0
421, 정진영,7.267142857142858,419738.14285714284
422, 다니엘 크레이그,8.005714285714287,1113833.3333333333
423, 엠마 왓슨,7.275000000000001,1354023.5
424, 크리스토퍼 플러머,8.501666666666665,192781.8
425, 소상경,7.59,58000.0
426, 정하담,9.2975,372685.25
427, 송재림,7.243333333333332,1283995.3333333333
428, 양자산,7.013333333333333,12076.5
429, 놀런 제라드 펑크,6.314000000000001,74420.33333333333
430, 옥타비아 스펜서,9.052499999999998,650000.0
431, 저스티스 스미스,NULL,NULL
432, 김주혁,8.02125,2116000.0
433, 콜린 베이커,NULL,NULL
434, 온드레이 트로얀,7.41,26000.0
435, 게자 뢰리히,8.68,24000.0
436, 조쉬 그린,8.6,NULL
437, 시타야 노리코,NULL,NULL
438, 이명호,NULL,NULL
439, 키노 하나,6.85,60147.5
440, 크리스 에반스,NULL,NULL
441, 클레멘스 포시,8.175,675259.6666666666
442, 데이비드 매주즈,6.94,18000.0
443, 아미르 칸,9.2975,45750.0
444, 앵거스 맥페이든,6.7625,923500.0
445, 판빙빙,6.38,6383.0
446, 휴 잭맨,8.363333333333335,1179833.3333333333
447, 커먼,8.103333333333333,18273.333333333332
448, 마이클 안젤리스,7.555,14500.0
449, 김원해,7.643750000000001,1550121.0
450, 잭 에프론,8.77,890000.0
451, 송승헌,7.3566666666666665,725805.0
452, 루카 아르겐테로,NULL,NULL
453, 에드가 라미레즈,6.9350000000000005,127105.0
454, 크리스 터커,8.458,450000.0
455, 제이든 마텔,NULL,NULL
456, 발렌틴 가프트,6.694999999999999,15930.666666666666
457, 알리시아 비칸데르,8.055,149413.75
458, 케리 러셀,8.116666666666667,1503666.6666666667
