idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30
78,트리플 엑스 리턴즈,2017.2.8,"3,967,335,095",0.2%,"475,309",590,"20,692",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,리얼,2017.6.28,"3,357,312,530",0.2%,"470,105",970,"25,139",한국,한국,(주)씨제이이엔엠, 이사랑,,,, 김수현, 이성민, 성동일,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,너의 췌장을 먹고 싶어,2017.10.25,"3,703,660,800",0.2%,"465,265",218,"16,849",일본,일본,(주)넥스트엔터테인먼트월드(NEW), 우시지마 신이치로,,,, 타카스기 마히로, 린,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,라이프,2017.4.5,"3,791,748,210",0.2%,"459,984",647,"27,762",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,명탐정 코난:진홍의 연가,2017.8.2,"3,268,917,200",0.2%,"450,043",582,"9,763",일본,일본,(주)씨제이이엔엠, 시즈노 코분,,,, 타카야마 미나미, 야마자키 와카나, 코야마 리키야, 호리카와 료, 미야무라 유코,,,,,,,,,,,,,,,,,,,,,,,,,
83,히든 피겨스,2017.3.23,"3,580,767,033",0.2%,"449,518",448,"19,742",미국,미국,이십세기폭스코리아(주), 데오도르 멜피,,,, 타라지 P. 헨슨, 옥타비아 스펜서, 자넬 모네,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,반드시 잡는다,2017.11.29,"3,326,439,772",0.2%,"446,780",565,"24,559",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 김홍선,,,, 백윤식, 성동일,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,원라인,2017.3.29,"3,319,035,433",0.2%,"435,048",613,"20,788",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 양경모,,,, 임시완, 진구, 박병은,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,터닝메카드W: 블랙미러의 부활,2017.1.18,"3,215,588,500",0.2%,"429,933",570,"14,146",한국,한국,(주)키다리이엔티, 홍헌표,,,, 소연, 신용우, 윤아영, 장광, 강호철, 안영미, 윤미나, 엄상현, 정재헌,,,,,,,,,,,,,,,,,,,,,
87,스머프: 비밀의 숲,2017.4.28,"3,122,661,000",0.2%,"427,764",607,"10,658",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 켈리 애스버리,,,, 맨디 파틴킨, 데미 로바토, 레인 윌슨, 조 맨가니엘로, 잭 맥브레이어,,,,,,,,,,,,,,,,,,,,,,,,,
88,로그 원: 스타워즈 스토리,2016.12.28,"3,920,458,500",0.2%,"422,822",810,"17,226",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 가렛 에드워즈,,,, 펠리시티 존스, 디에고 루나, 매즈 미켈슨, 리즈 아메드, 포레스트 휘태커, 견자단, 강문,,,,,,,,,,,,,,,,,,,,,,,
89,킹 아서: 제왕의 검,2017.5.17,"3,373,678,655",0.2%,"415,714",588,"20,315",영국,"영국,호주,미국",워너브러더스 코리아(주), 가이 리치,,,, 찰리 허냄, 주드 로,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,극장판 포켓몬스터 너로 정했다!,2017.12.21,"3,117,529,700",0.2%,"415,255",626,"7,796",일본,일본,(주)이수C&E, 유야마 쿠니히코,,,, 마츠모토 리카, 오오타니 이쿠에,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,넛잡 2,2017.10.3,"3,069,388,100",0.2%,"411,787",526,"10,449",한국,"한국,캐나다,중국",롯데쇼핑㈜롯데엔터테인먼트, 캘런 브런커,,,, 윌 아넷, 캐서린 헤이글, 성룡, 이사벨라 모너, 마야 루돌프,,,,,,,,,,,,,,,,,,,,,,,,,
92,아메리칸 메이드,2017.9.14,"3,175,539,145",0.2%,"401,541",691,"26,356",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 더그 라이만,,,, 톰 크루즈, 도널 글리슨, 사라 라이트,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,러빙 빈센트,2017.11.9,"3,061,456,861",0.2%,"384,540",272,"14,651",영국,"영국,폴란드","(주)스튜디오디에이치엘,판씨네마(주)", 도로타 코비엘라, 휴 웰치맨,,, 더글러스 부스, 시얼샤 로넌, 제롬 플린, 에이단 터너,,,,,,,,,,,,,,,,,,,,,,,,,,
94,보통사람,2017.3.23,"2,956,397,623",0.2%,"383,336",621,"19,928",한국,한국,오퍼스픽쳐스(유), 국도원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
