idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,director5,director6,director7,director8,director9,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19
82,원더풀 고스트,2018.9.26,"3,720,931,600",0.2%,"450,374",351,"13,999",한국,한국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온", 조원희,,,,,,,,, 마동석, 김영광, 이유영,,,,,,,,,,,,,,,,
83,강철비,2017.12.14,"3,494,678,900",0.2%,"438,447",602,"13,598",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 양우석,,,,,,,,, 정우성, 곽도원, 유연석, 앵거스 맥페이든,,,,,,,,,,,,,,,
84,흥부: 글로 세상을 바꾼 자,2018.2.14,"3,381,050,200",0.2%,"416,303",627,"18,671",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 조근현,,,,,,,,, 정우, 김주혁, 정진영,,,,,,,,,,,,,,,,
85,명탐정 코난 : 제로의 집행인,2018.8.8,"3,014,920,361",0.2%,"396,230",542,"8,770",일본,일본,(주)씨제이이엔엠, 타치카와 유즈루,,,,,,,,, 타카야마 미나미, 야마자키 와카나, 코야마 리키야,,,,,,,,,,,,,,,,
86,피터 래빗,2018.5.16,"3,006,258,100",0.2%,"388,300",599,"12,522",미국,"미국,영국,호주",소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,점박이 한반도의 공룡2 : 새로운 낙원,2018.12.25,"2,941,541,400",0.2%,"375,312",672,"6,495",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 한상호,,,,,,,,, 박희순, 라미란, 김성균,,,,,,,,,,,,,,,,
88,패딩턴 2,2018.2.8,"2,555,480,200",0.1%,"339,014",629,"14,455",프랑스,"프랑스,영국",(주)이수C&E, 폴 킹,,,,,,,,, 벤 위쇼, 휴 그랜트, 샐리 호킨스, 휴 보네빌, 사무엘 조슬린, 매들린 해리스, 줄리 월터스,,,,,,,,,,,,
89,허스토리,2018.6.27,"2,521,025,949",0.1%,"336,822",696,"20,406",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 민규동,,,,,,,,, 김희애, 김해숙,,,,,,,,,,,,,,,,,
90,미드나잇 선,2018.6.21,"2,679,300,500",0.1%,"326,086",472,"14,847",미국,미국,"(주)삼백상회,(주)키다리이엔티", 스콧 레베레히트,,,,,,,,, 잭 킬버그, 마야 패리쉬,,,,,,,,,,,,,,,,,
91,덕구,2018.4.5,"2,389,041,700",0.1%,"315,663",544,"19,006",한국,한국,메가박스중앙(주)플러스엠, 방수인,,,,,,,,, 이순재, 정지훈,,,,,,,,,,,,,,,,,
92,번 더 스테이지: 더 무비,2018.11.15,"2,671,391,900",0.1%,"315,010",243,"4,714",한국,한국,월트디즈니컴퍼니코리아 유한책임회사,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,트루스 오어 데어,2018.5.22,"2,647,330,400",0.1%,"310,956",530,"17,066",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 제프 와드로,,,,,,,,, 루시 헤일, 타일러 포시, 바이올렛 빈, 놀런 제라드 펑크,,,,,,,,,,,,,,,
94,커뮤터,2018.1.24,"2,286,690,955",0.1%,"286,062",575,"16,145",영국,"영국,미국",메가박스중앙(주)플러스엠, 마이클 패터슨,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,후드,2018.11.28,"2,203,434,149",0.1%,"284,601",628,"14,338",미국,미국,(주)이수C&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018.12.19,"2,148,708,050",0.1%,"277,206",489,"5,329",일본,일본,(주)씨제이이엔엠, 타카하시 와타루,,,,,,,,, 박영남, 강희선, 김환진, 여민정,,,,,,,,,,,,,,,
97,해리포터와 마법사의 돌,2001.12.13,"2,349,913,000",0.1%,"267,950",33,"3,929",미국,미국,워너브러더스 코리아(주), 크리스 콜럼버스,,,,,,,,, 다니엘 래드클리프, 루퍼트 그린트, 엠마 왓슨,,,,,,,,,,,,,,,,
98,모털 엔진,2018.12.5,"2,324,362,119",0.1%,"267,896",661,"15,454",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 크리스찬 리버스,,,,,,,,, 헤라 힐마, 로버트 시한, 휴고 위빙, 지혜, 스티븐 랭,,,,,,,,,,,,,,
99,바울,2018.10.31,"2,100,137,400",0.1%,"267,785",227,"8,455",미국,미국,(재)CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,나를 차버린 스파이,2018.8.22,"2,346,742,100",0.1%,"264,766",278,"12,987",미국,미국,(주)누리픽쳐스, 수잔나 포겔,,,,,,,,, 밀라 쿠니스, 케이트 맥키넌,,,,,,,,,,,,,,,,,
101,명탐정 코난:감벽의 관,2018.2.14,"1,803,389,439",0.1%,"242,603",487,"8,489",일본,일본,(주)씨제이이엔엠, 야마모토 야스이치로,,,,,,,,, 김선혜, 강수진, 이현진, 이용신, 이정구,,,,,,,,,,,,,,
102,아이 필 프리티,2018.6.6,"2,127,094,300",0.1%,"240,297",213,"11,900",미국,미국,(주)홈초이스, 에비 콘, 마크 실버스테인,,,,,,,, 에이미 슈머, 미셸 윌리엄스,,,,,,,,,,,,,,,,,
